@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
2.575E2,3.723E-2,1.322E-5,4.718E4,1.021E-4,2.171E-2,?,7.56E2,?,?,?,-9.758E-1,1.71E-1,-2.967E-2,-2.589E-2,2.279E-2,2.098E-2,1.884E-2,3.088E-2,2.524E-2,0E0,2.702E-1,1.805E3,4.321E6,1.242E10,7.363E13,-7.685E2,1.213E1,2.781E-1,-7.451E1,-4.047E0,4.16E0,1.422E3,-1.635E1,-3.75E-1,5.009E1,augusta.wav
7.581E2,1.567E-1,1.12E-2,2.109E4,1.095E-3,2.141E-1,?,1.358E3,?,?,?,-9.499E-1,7.489E-1,-2.058E-1,3.159E-2,1.015E-1,-1.484E-1,-6.257E-2,6.417E-2,9.076E-2,0E0,4.04E0,1.646E3,2.797E6,8.364E9,4.684E13,-7.733E2,1.642E1,4.29E-1,-1.709E2,-7.69E0,5.931E0,4.666E3,-2.127E1,-5.557E-1,6.753E1,augusta.wav
7.95E2,1.66E-1,7.195E-3,4.346E4,5.648E-4,1.611E-1,?,1.678E3,?,?,?,-9.519E-1,8.184E-1,-4.353E-1,-1.913E-1,9.324E-2,-5.491E-2,1.087E-3,2.147E-1,6.229E-2,0E0,2.152E0,1.45E3,2.056E6,6.565E9,3.721E13,-7.897E2,2.092E1,6.265E-1,-3.11E2,-1.374E1,7.811E0,1.124E4,-2.629E1,-7.873E-1,8.243E1,augusta.wav
5.449E2,5.701E-2,2.662E-3,4.859E4,5.47E-4,1.234E-1,?,1.619E3,?,?,?,-9.45E-1,6.675E-1,-4.575E-1,-2.111E-1,2.862E-1,-8.724E-2,5.681E-2,2.673E-1,2.359E-2,0E0,1.764E0,1.551E3,2.615E6,7.712E9,4.58E13,-7.725E2,2.552E1,8.741E-1,-4.959E2,-2.215E1,9.571E0,2.242E4,8.384E0,2.871E-1,9.18E1,augusta.wav
1.052E3,3.096E-1,1.628E-3,2.934E4,3.852E-4,1.096E-1,?,2.23E3,?,?,?,-9.124E-1,5.17E-1,-3.681E-1,-9.282E-2,2.841E-1,-2.327E-1,-4.11E-2,1.223E-1,4.208E-2,0E0,1.99E0,2.307E3,3.962E6,7.916E9,5.583E13,-7.736E2,3.023E1,1.171E0,-7.282E2,-3.414E1,1.155E1,3.971E4,7.711E1,2.988E0,1.006E2,augusta.wav
7.01E2,2.396E-1,1.097E-3,3.621E4,1.567E-4,3.887E-2,?,1.511E3,?,?,?,-8.957E-1,5.46E-1,-2.923E-1,-2.494E-1,-6.025E-2,-2.241E-1,-1.449E-1,3.253E-2,-4.427E-2,0E0,6.742E-1,2.191E3,3.961E6,8.361E9,5.583E13,-7.654E2,3.482E1,1.491E0,-9.98E2,-4.845E1,1.321E1,6.353E4,2.416E2,1.034E1,1.033E2,augusta.wav
2.451E2,3.821E-2,9.574E-5,4.94E4,1.079E-4,2.332E-2,?,7.85E2,?,?,?,-9.761E-1,2.112E-1,-1.553E-2,-2.344E-2,3.945E-3,-1.322E-2,1.943E-3,1.179E-2,1.29E-2,0E0,2.885E-1,1.754E3,4.233E6,1.259E10,7.427E13,-7.925E2,3.932E1,1.717E0,-1.303E3,-6.21E1,1.431E1,9.457E4,4.269E2,1.864E1,1.033E2,augusta.wav
3.013E2,5.225E-2,1.985E-5,5.057E4,1.064E-4,2.361E-2,?,8.31E2,?,?,?,-9.714E-1,2.731E-1,6.782E-3,-7.26E-3,2.597E-3,-1.326E-2,-2.362E-2,-2.113E-2,-5.492E-3,0E0,3.27E-1,1.703E3,3.96E6,1.208E10,7.006E13,-8.161E2,4.375E1,1.82E0,-1.641E3,-7.309E1,1.473E1,1.336E5,5.724E2,2.382E1,1.011E2,augusta.wav
7.898E2,1.461E-1,9.058E-4,2.443E4,3.274E-4,1.02E-1,?,9.63E2,?,?,?,-8.981E-1,4.273E-1,-1.997E-1,9.315E-2,1.167E-1,5.538E-2,1.442E-2,-1.25E-1,9.023E-2,0E0,1.753E0,1.775E3,3.331E6,9.28E9,5.248E13,-8.095E2,4.827E1,1.86E0,-2.028E3,-8.295E1,1.483E1,1.834E5,6.574E2,2.532E1,9.848E1,augusta.wav
2.744E2,4.456E-2,9.102E-4,4.943E4,1.106E-4,2.453E-2,?,7.34E2,?,?,?,-9.763E-1,2.644E-1,-9.027E-4,3.757E-3,2.937E-2,1.08E-2,2.031E-2,4.023E-2,1.626E-2,0E0,3.215E-1,1.623E3,3.917E6,1.224E10,7.091E13,-8.054E2,5.26E1,1.902E0,-2.437E3,-9.251E1,1.489E1,2.414E5,7.925E2,2.866E1,9.515E1,augusta.wav
7.377E2,1.587E-1,9.581E-3,2.51E4,1.014E-3,2.527E-1,?,1.163E3,?,?,?,-9.471E-1,8.175E-1,-2.496E-1,4.971E-3,9.768E-2,-6.893E-3,3.262E-2,6.2E-2,1.457E-1,0E0,4.055E0,1.537E3,2.411E6,7.482E9,4.169E13,-7.631E2,5.691E1,2.006E0,-2.883E3,-1.055E2,1.47E1,3.104E5,9.855E2,3.473E1,8.783E1,augusta.wav
7.304E2,9.106E-2,9.072E-3,3.317E4,7.744E-4,2.05E-1,?,1.065E3,?,?,?,-9.513E-1,8.774E-1,-3.762E-1,-9.235E-3,2.992E-1,-4.514E-2,1.844E-2,2.155E-1,2.044E-1,0E0,2.128E0,1.363E3,1.764E6,6.011E9,3.371E13,-7.773E2,6.134E1,2.053E0,-3.38E3,-1.17E2,1.425E1,3.939E5,1.094E3,3.661E1,8.087E1,augusta.wav
9.589E2,1.566E-1,5.048E-3,2.918E4,8.094E-4,2.007E-1,?,1.361E3,?,?,?,-9.273E-1,8.944E-1,-3.287E-1,-8.828E-2,8.895E-2,-1.401E-1,-1.074E-1,8.543E-2,1.718E-1,0E0,2.673E0,1.42E3,1.721E6,5.779E9,3.2E13,-7.742E2,6.589E1,2.01E0,-3.932E3,-1.239E2,1.317E1,4.94E5,1.128E3,3.441E1,7.23E1,augusta.wav
6.86E2,1.802E-1,1.09E-2,4.718E4,1.079E-3,2.047E-1,?,1.922E3,?,?,?,-9.365E-1,7.14E-1,-4.659E-1,-1.638E-1,3.175E-1,-2.012E-1,6.054E-2,3.772E-1,1.974E-1,0E0,2.936E0,1.594E3,2.292E6,6.911E9,4.088E13,-7.731E2,7.065E1,2.002E0,-4.551E3,-1.332E2,1.24E1,6.15E5,1.169E3,3.312E1,6.685E1,augusta.wav
7.489E2,1.655E-1,1.434E-2,2.845E4,1.385E-3,2.959E-1,?,1.49E3,?,?,?,-9.434E-1,7.635E-1,-3.102E-1,-1.039E-2,1.621E-1,-7.741E-2,1.434E-2,1.146E-1,2.04E-1,0E0,4.552E0,1.659E3,2.649E6,7.861E9,4.405E13,-7.52E2,7.564E1,1.907E0,-5.249E3,-1.367E2,1.109E1,7.616E5,1.139E3,2.87E1,6.06E1,augusta.wav
6.555E2,1.425E-1,2.12E-2,4.344E4,1.343E-3,3.474E-1,?,1.327E3,?,?,?,-9.573E-1,8.84E-1,-4.617E-1,-6.972E-2,2.854E-1,-3.681E-2,-5.319E-2,1.417E-1,1.783E-1,0E0,4.094E0,1.284E3,1.651E6,5.597E9,3.209E13,-7.232E2,8.075E1,1.873E0,-6.013E3,-1.44E2,9.69E0,9.337E5,1.174E3,2.723E1,5.198E1,augusta.wav
6.89E2,1.72E-1,1.328E-2,4.78E4,9.168E-4,2.626E-1,?,1.636E3,?,?,?,-9.259E-1,7.323E-1,-2.789E-1,1.64E-2,1.281E-1,-6.942E-2,-2.292E-2,-6.004E-3,1.133E-1,0E0,3.036E0,1.557E3,2.368E6,7.333E9,4.406E13,-6.753E2,8.582E1,1.815E0,-6.824E3,-1.484E2,7.836E0,1.129E6,1.265E3,2.674E1,4.078E1,augusta.wav
7.209E2,1.381E-1,9.638E-3,5.446E4,7.761E-4,2.88E-1,?,1.312E3,?,?,?,-9.309E-1,8.205E-1,-1.687E-1,1.191E-1,7.762E-2,3.394E-2,-2.539E-2,-2.397E-2,5.387E-2,0E0,1.993E0,1.265E3,1.89E6,6.638E9,3.759E13,-6.354E2,9.073E1,1.737E0,-7.658E3,-1.499E2,5.734E0,1.342E6,1.383E3,2.647E1,2.793E1,augusta.wav
6.191E2,1.329E-1,6.215E-3,4.399E4,8.381E-4,2.019E-1,?,1.419E3,?,?,?,-9.514E-1,8.862E-1,-3.653E-1,-2.007E-1,5.534E-2,-2.02E-2,-3.729E-2,1.404E-1,1.142E-1,0E0,3.096E0,1.134E3,1.512E6,5.463E9,3.093E13,-6.213E2,9.565E1,1.653E0,-8.542E3,-1.507E2,3.516E0,1.58E6,1.413E3,2.443E1,1.348E1,augusta.wav
