@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
1.541E1,6.641E-2,3.451E-3,1.748E3,4.209E-3,2.109E-1,?,3.7E1,?,?,?,-9.707E-1,8.043E-1,-4.914E-2,-4.128E-2,1.116E-1,2.348E-1,-1.659E-1,-4.179E-2,1.702E-1,0E0,3.673E-1,3.098E1,1.577E3,1.888E5,3.383E7,-1.077E3,1.386E1,-5.88E-1,-1.043E2,5.048E0,1.368E-1,2.296E3,-8.602E1,3.649E0,2.623E1,augusta.wav
1.878E1,1.445E-1,1.463E-2,1.646E3,9.682E-3,3.516E-1,?,3.9E1,?,?,?,-9.555E-1,8.02E-1,-2.677E-1,-4.978E-2,1.6E-1,-3.212E-2,-7.018E-2,1.274E-2,7.239E-2,0E0,9.869E-1,3.633E1,1.726E3,1.755E5,3.036E7,-1.034E3,1.876E1,-7.28E-1,-2.321E2,1.018E1,4.421E-1,7.312E3,-1.305E2,5.065E0,3.888E1,augusta.wav
2.494E1,1.875E-1,1.531E-2,1.401E3,7.329E-3,3.026E-1,?,5.4E1,?,?,?,-9.23E-1,7.817E-1,-4.47E-1,-2.991E-1,1.079E-1,1.976E-1,-5.718E-2,5.726E-2,5.342E-2,0E0,8.997E-1,4.268E1,1.785E3,1.68E5,3.009E7,-9.976E2,2.364E1,-7.959E-1,-4.073E2,1.494E1,1.227E0,1.676E4,-1.832E2,6.166E0,5.558E1,augusta.wav
2.383E1,1.953E-1,4.026E-3,1.807E3,7.404E-3,2.958E-1,?,4.6E1,?,?,?,-9.32E-1,7.494E-1,-3.526E-1,-4.138E-1,2.078E-3,1.401E-1,9.551E-2,1.88E-1,2.155E-2,0E0,7.419E-1,4.205E1,1.824E3,1.786E5,3.265E7,-9.556E2,2.851E1,-8.734E-1,-6.291E2,2.041E1,1.869E0,3.195E4,-2.555E2,7.828E0,7.141E1,augusta.wav
2.311E1,1.953E-1,2.37E-3,1.539E3,6.6E-3,2.696E-1,?,4.6E1,?,?,?,-9.372E-1,7.841E-1,-4.45E-1,-4.348E-1,-7.664E-2,1.849E-1,5.706E-2,1.403E-1,4.416E-2,0E0,6.597E-1,4.074E1,1.812E3,1.77E5,3.218E7,-9.139E2,3.333E1,-1.007E0,-8.963E2,2.797E1,1.933E0,5.413E4,-3.731E2,1.127E1,8.278E1,augusta.wav
1.638E1,6.641E-2,4.516E-3,1.526E3,4.974E-3,2.365E-1,?,3.1E1,?,?,?,-9.632E-1,6.794E-1,-2.826E-1,-3.054E-1,-1.088E-1,5.893E-2,1.168E-1,2.362E-1,1.766E-1,0E0,4.997E-1,3.776E1,1.953E3,1.963E5,3.491E7,-8.93E2,3.815E1,-1.123E0,-1.209E3,3.643E1,1.988E0,8.458E4,-4.897E2,1.442E1,9.384E1,augusta.wav
1.5E1,6.25E-2,1.469E-3,1.646E3,5.165E-3,2.221E-1,?,3.2E1,?,?,?,-9.667E-1,6.448E-1,-2.536E-1,-2.149E-1,1.721E-1,-1.782E-2,9.793E-2,3.266E-1,2.196E-1,0E0,5.366E-1,3.855E1,2.164E3,2.282E5,4.179E7,-8.803E2,4.287E1,-1.16E0,-1.56E3,4.255E1,2.547E0,1.239E5,-6.165E2,1.668E1,1.07E2,augusta.wav
9.319E0,4.688E-2,3.047E-3,1.499E3,5.11E-3,1.831E-1,?,3.5E1,?,?,?,-9.827E-1,6.272E-1,-1.072E-1,-2.778E-2,1.757E-1,5.126E-2,8.946E-2,3.075E-1,2.43E-1,0E0,3.834E-1,3.073E1,2.021E3,2.336E5,4.119E7,-8.57E2,4.751E1,-1.16E0,-1.949E3,4.78E1,3.638E0,1.728E5,-6.962E2,1.7E1,1.26E2,augusta.wav
9.812E0,4.688E-2,1.104E-3,1.296E3,4.325E-3,1.443E-1,?,2.9E1,?,?,?,-9.854E-1,7.466E-1,-2.586E-1,-1.995E-1,2.485E-1,3.533E-1,2.573E-1,2.729E-1,1.71E-2,0E0,3.578E-1,2.656E1,1.638E3,2.059E5,3.705E7,-8.428E2,5.197E1,-1.171E0,-2.365E3,5.303E1,4.471E0,2.307E5,-8.121E2,1.829E1,1.408E2,augusta.wav
6.252E0,3.125E-2,2.413E-3,1.663E3,3.542E-3,1.138E-1,?,1.9E1,?,?,?,-9.874E-1,5.661E-1,-8.962E-2,-1.509E-1,3.675E-2,3.145E-2,-4.617E-2,2.304E-1,8.698E-2,0E0,2.599E-1,2.818E1,2.016E3,2.519E5,4.518E7,-8.441E2,5.641E1,-1.141E0,-2.817E3,5.696E1,5.849E0,2.999E5,-8.36E2,1.691E1,1.611E2,augusta.wav
