@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
3.879E2,5.103E-2,2.714E-3,5.114E4,1.158E-4,6.218E-2,?,9.98E2,?,?,?,-9.767E-1,6.341E-1,-4.829E-2,8.503E-2,3.448E-1,5.86E-2,3.1E-2,1.44E-1,1.057E-1,0E0,3.618E-1,1.768E3,3.763E6,1.09E10,6.434E13,-7.251E2,1.241E1,-9.951E-2,-7.913E1,-1.444E0,5.338E-1,1.549E3,-6.652E1,5.333E-1,1.791E1,augusta.wav
2.521E2,3.662E-2,3.705E-5,4.957E4,1.01E-4,2.136E-2,?,7.91E2,?,?,?,-9.747E-1,1.793E-1,-3.604E-2,-3.482E-2,1.26E-2,5.382E-3,1.789E-2,3.567E-2,4.021E-2,0E0,2.575E-1,1.823E3,4.39E6,1.246E10,7.433E13,-7.669E2,1.653E1,-1.365E-1,-1.73E2,-1.064E0,8.373E-1,4.754E3,-1.097E2,9.063E-1,2.521E1,augusta.wav
6.869E2,1.569E-1,5.417E-4,4.191E4,2.701E-4,1.372E-1,?,1.051E3,?,?,?,-9.198E-1,6.896E-1,-1.798E-1,5.755E-2,1.502E-1,-1.404E-1,-9.618E-2,-1.353E-2,1.785E-2,0E0,1.009E0,1.763E3,3.25E6,8.983E9,5.342E13,-7.876E2,2.075E1,-1.512E-1,-3.044E2,-8.687E-1,1.212E0,1.089E4,-1.662E2,1.212E0,3.224E1,augusta.wav
5.361E2,1.213E-1,7.309E-3,4.893E4,1.055E-3,2.197E-1,?,1.678E3,?,?,?,-9.517E-1,7.723E-1,-2.268E-1,-1.274E-2,4.611E-2,-9.052E-2,-4.147E-2,4.771E-2,8.312E-2,0E0,2.833E0,1.185E3,1.581E6,5.555E9,3.107E13,-7.944E2,2.514E1,-3.806E-2,-4.788E2,-3.712E0,2.54E0,2.129E4,-2.348E2,3.554E-1,4.65E1,augusta.wav
6.615E2,1.648E-1,8.702E-3,4.54E4,8.375E-4,1.491E-1,?,1.753E3,?,?,?,-9.466E-1,7.708E-1,-3.978E-1,-1.135E-1,2.19E-1,-1.278E-1,-8.529E-3,1.596E-1,2.608E-2,0E0,2.708E0,1.4E3,1.953E6,6.269E9,3.574E13,-7.918E2,2.963E1,2.317E-1,-6.969E2,-1.144E1,4.782E0,3.719E4,-2.711E2,-2.12E0,6.574E1,augusta.wav
6.546E2,1.931E-1,4.427E-3,4.881E4,4.839E-4,1.235E-1,?,1.53E3,?,?,?,-9.454E-1,7.213E-1,-4.626E-1,-2.338E-1,2.457E-1,-3.534E-2,3.271E-2,2.335E-1,-1.619E-2,0E0,1.91E0,1.524E3,2.453E6,7.343E9,4.377E13,-7.783E2,3.431E1,5.453E-1,-9.661E2,-2.222E1,7.298E0,6.053E4,-2.414E2,-3.837E0,8.473E1,augusta.wav
7.776E2,2.189E-1,1.323E-3,2.716E4,4.977E-4,1.024E-1,?,2.242E3,?,?,?,-9.077E-1,4.911E-1,-3.789E-1,-1.068E-1,2.929E-1,-2.186E-1,-3.729E-2,1.177E-1,3.799E-2,0E0,2.195E0,2.086E3,3.812E6,8.621E9,5.67E13,-7.536E2,3.897E1,1E0,-1.279E3,-4.015E1,1.016E1,9.202E4,-9.186E1,-2.357E0,9.826E1,augusta.wav
7.01E2,2.396E-1,1.858E-3,3.621E4,1.567E-4,3.887E-2,?,1.511E3,?,?,?,-8.957E-1,5.46E-1,-2.923E-1,-2.494E-1,-6.025E-2,-2.241E-1,-1.449E-1,3.253E-2,-4.427E-2,0E0,6.742E-1,2.191E3,3.961E6,8.361E9,5.583E13,-7.686E2,4.367E1,1.337E0,-1.637E3,-5.733E1,1.206E1,1.33E5,9.174E1,2.809E0,1.035E2,augusta.wav
2.404E2,3.723E-2,9.464E-5,4.798E4,1.083E-4,2.356E-2,?,7.63E2,?,?,?,-9.77E-1,2.003E-1,-3.023E-2,-2.716E-2,1.37E-2,-3.585E-3,1.053E-2,2.069E-2,2.045E-2,0E0,2.842E-1,1.773E3,4.289E6,1.264E10,7.488E13,-7.928E2,4.824E1,1.524E0,-2.027E3,-7.101E1,1.296E1,1.833E5,2.414E2,7.624E0,1.034E2,augusta.wav
2.884E2,5.2E-2,1.947E-5,4.968E4,1.104E-4,2.369E-2,?,8.38E2,?,?,?,-9.72E-1,2.781E-1,7.473E-3,-6.525E-3,-6.886E-3,-2.238E-2,-2.295E-2,-2.126E-2,-1.964E-3,0E0,3.308E-1,1.675E3,3.939E6,1.222E10,7.101E13,-8.141E2,5.275E1,1.578E0,-2.453E3,-8.016E1,1.326E1,2.437E5,3.272E2,9.79E0,1.023E2,augusta.wav
8.786E2,1.742E-1,3.903E-3,6.539E3,6.059E-4,1.02E-1,?,9.92E2,?,?,?,-8.98E-1,4.273E-1,-1.997E-1,9.317E-2,1.167E-1,5.563E-2,1.43E-2,-1.249E-1,9.007E-2,0E0,3.659E0,1.917E3,3.57E6,9.104E9,5.302E13,-7.734E2,5.733E1,1.715E0,-2.927E3,-9.418E1,1.38E1,3.176E5,4.768E2,1.427E1,9.972E1,augusta.wav
3.01E2,5.225E-2,3.902E-3,4.85E4,1.085E-4,2.459E-2,?,7.57E2,?,?,?,-9.754E-1,2.858E-1,3.173E-2,2.964E-3,1.873E-2,-4.494E-3,1.585E-2,2.405E-2,2.137E-2,0E0,3.302E-1,1.628E3,3.891E6,1.239E10,7.18E13,-7.687E2,6.163E1,1.871E0,-3.412E3,-1.096E2,1.43E1,3.995E5,7.051E2,2.14E1,9.577E1,augusta.wav
2.857E2,4.968E-2,2.954E-5,5.093E4,1.206E-4,7.22E-2,?,7.81E2,?,?,?,-9.615E-1,7.49E-1,-1.919E-1,-6.352E-2,2.223E-1,-7.375E-2,-4.745E-2,3.764E-2,1.132E-1,0E0,3.495E-1,1.611E3,3.792E6,1.203E10,6.932E13,-7.832E2,6.581E1,1.974E0,-3.919E3,-1.228E2,1.462E1,4.916E5,9.429E2,2.829E1,9.204E1,augusta.wav
7.339E2,1.533E-1,2.254E-2,4.086E4,1.591E-3,3.015E-1,?,1.341E3,?,?,?,-9.479E-1,8.354E-1,-2.846E-1,7.456E-3,1.486E-1,-4.546E-3,4.814E-2,1.045E-1,1.68E-1,0E0,4.824E0,1.434E3,2.063E6,6.786E9,3.689E13,-7.714E2,7.017E1,1.973E0,-4.486E3,-1.31E2,1.42E1,6.019E5,1.046E3,2.941E1,8.705E1,augusta.wav
6.14E2,7.922E-2,2.186E-2,5.54E4,2.198E-4,1.556E-1,?,9.64E2,?,?,?,-9.507E-1,8.751E-1,-3.296E-1,-1.464E-2,2.984E-1,4.924E-3,6.137E-2,2.791E-1,2.347E-1,0E0,6.461E-1,1.457E3,2.519E6,8.55E9,4.853E13,-7.902E2,7.452E1,1.881E0,-5.088E3,-1.333E2,1.352E1,7.269E5,1.016E3,2.564E1,8.337E1,augusta.wav
9.501E2,1.562E-1,1.055E-2,2.561E4,1.147E-3,2.007E-1,?,1.498E3,?,?,?,-9.269E-1,8.898E-1,-3.092E-1,-7.254E-2,8.4E-2,-1.64E-1,-1.006E-1,1.032E-1,1.487E-1,0E0,3.673E0,1.42E3,1.698E6,5.697E9,3.147E13,-7.941E2,7.911E1,1.802E0,-5.765E3,-1.362E2,1.263E1,8.766E5,1.009E3,2.298E1,7.787E1,augusta.wav
6.86E2,1.802E-1,1.528E-2,4.718E4,1.079E-3,2.047E-1,?,1.922E3,?,?,?,-9.365E-1,7.14E-1,-4.659E-1,-1.638E-1,3.175E-1,-2.012E-1,6.054E-2,3.772E-1,1.974E-1,0E0,2.936E0,1.594E3,2.292E6,6.911E9,4.088E13,-7.907E2,8.391E1,1.708E0,-6.516E3,-1.378E2,1.177E1,1.053E6,9.219E2,1.876E1,7.475E1,augusta.wav
7.24E2,1.658E-1,1.054E-2,3.98E4,1.233E-3,2.571E-1,?,1.587E3,?,?,?,-9.369E-1,7.266E-1,-3.276E-1,-3.077E-2,1.73E-1,-8.332E-2,1.441E-2,1.084E-1,2.046E-1,0E0,3.978E0,1.62E3,2.506E6,7.502E9,4.235E13,-7.603E2,8.886E1,1.632E0,-7.34E3,-1.4E2,1.074E1,1.259E6,8.993E2,1.652E1,6.973E1,augusta.wav
