@relation jAudio
@ATTRIBUTE "Spectral Centroid0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point0" NUMERIC
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Compactness0" NUMERIC
@ATTRIBUTE "Spectral Variability0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Strongest Beat0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC
@ATTRIBUTE "Method of Moments0" NUMERIC
@ATTRIBUTE "Method of Moments1" NUMERIC
@ATTRIBUTE "Method of Moments2" NUMERIC
@ATTRIBUTE "Method of Moments3" NUMERIC
@ATTRIBUTE "Method of Moments4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs0" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs1" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs2" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs3" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs4" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs5" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs6" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs7" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs8" NUMERIC
@ATTRIBUTE "Area Method of Moments of MFCCs9" NUMERIC
@ATTRIBUTE "FileName" {augusta.wav,test.wav}
@DATA
5.869E2,1.227E-1,1.305E-2,4.1E4,1.211E-3,2.217E-1,?,1.575E3,?,?,?,-9.507E-1,7.506E-1,-2.209E-1,1.738E-2,9.628E-2,-1.487E-1,-5.604E-2,7.49E-2,9.229E-2,0E0,3.62E0,1.389E3,2.215E6,7.413E9,4.081E13,-7.654E2,1.212E1,-6.663E-3,-7.443E1,-1.407E0,1.95E0,1.421E3,-3.604E1,1.982E-2,3.367E1,augusta.wav
6.615E2,1.648E-1,1.162E-2,4.54E4,8.375E-4,1.491E-1,?,1.753E3,?,?,?,-9.466E-1,7.708E-1,-3.978E-1,-1.135E-1,2.19E-1,-1.278E-1,-8.529E-3,1.596E-1,2.608E-2,0E0,2.708E0,1.4E3,1.953E6,6.269E9,3.574E13,-7.77E2,1.648E1,1.599E-1,-1.728E2,-4.457E0,3.681E0,4.742E3,-6.003E1,-5.825E-1,5.178E1,augusta.wav
7.227E2,1.895E-1,4.243E-3,4.242E4,5.222E-4,1.071E-1,?,1.687E3,?,?,?,-9.299E-1,6.586E-1,-4.04E-1,-1.954E-1,1.983E-1,-1.82E-1,1.001E-2,2.592E-1,2.161E-2,0E0,2.209E0,1.452E3,2.14E6,6.584E9,3.867E13,-7.764E2,2.112E1,3.032E-1,-3.182E2,-8.498E0,5.089E0,1.162E4,-8.85E1,-1.27E0,6.537E1,augusta.wav
6.85E2,1.974E-1,1.228E-3,4.952E4,3.118E-4,9E-2,?,2.35E3,?,?,?,-9.067E-1,4.338E-1,-4.055E-1,-1.616E-1,2.543E-1,-1.842E-1,-2.883E-2,1.113E-1,5.234E-2,0E0,1.324E0,1.585E3,2.626E6,7.923E9,4.62E13,-7.737E2,2.584E1,5.144E-1,-5.096E2,-1.485E1,6.718E0,2.335E4,-8.082E1,-1.609E0,7.795E1,augusta.wav
2.335E2,3.711E-2,7.362E-4,5.201E4,1.088E-4,2.437E-2,?,7.47E2,?,?,?,-9.745E-1,2.464E-1,-7.168E-2,-1.005E-1,-3.419E-2,-5.361E-2,-2.023E-2,5.651E-2,8.562E-2,0E0,2.755E-1,1.808E3,4.359E6,1.257E10,7.486E13,-7.948E2,3.041E1,7.428E-1,-7.372E2,-2.286E1,8.397E0,4.044E4,-1.665E1,-4.066E-1,8.886E1,augusta.wav
2.884E2,5.2E-2,2.044E-5,4.968E4,1.104E-4,2.369E-2,?,8.38E2,?,?,?,-9.72E-1,2.781E-1,7.473E-3,-6.525E-3,-6.886E-3,-2.238E-2,-2.295E-2,-2.126E-2,-1.964E-3,0E0,3.308E-1,1.675E3,3.939E6,1.222E10,7.101E13,-8.022E2,3.482E1,9.911E-1,-9.967E2,-3.277E1,9.999E0,6.341E4,1.208E2,3.44E0,9.643E1,augusta.wav
8.414E2,1.639E-1,2.294E-3,1.271E4,4.831E-4,1.02E-1,?,9.62E2,?,?,?,-8.981E-1,4.272E-1,-1.997E-1,9.308E-2,1.167E-1,5.538E-2,1.438E-2,-1.251E-1,9.013E-2,0E0,2.772E0,1.854E3,3.465E6,9.201E9,5.279E13,-7.925E2,3.941E1,1.189E0,-1.308E3,-4.38E1,1.11E1,9.519E4,2.427E2,7.324E0,9.921E1,augusta.wav
2.744E2,4.456E-2,2.305E-3,4.943E4,1.106E-4,2.453E-2,?,7.34E2,?,?,?,-9.763E-1,2.644E-1,-9.027E-4,3.757E-3,2.937E-2,1.08E-2,2.031E-2,4.023E-2,1.626E-2,0E0,3.215E-1,1.623E3,3.917E6,1.224E10,7.091E13,-8.122E2,4.395E1,1.245E0,-1.657E3,-5.114E1,1.148E1,1.355E5,3.152E2,8.928E0,9.986E1,augusta.wav
7.508E2,1.567E-1,1.545E-2,2.474E4,1.29E-3,2.621E-1,?,1.245E3,?,?,?,-9.471E-1,8.178E-1,-2.657E-1,1.554E-3,1.164E-1,-1.071E-2,3.709E-2,6.49E-2,1.477E-1,0E0,4.784E0,1.525E3,2.348E6,7.357E9,4.05E13,-7.688E2,4.851E1,1.374E0,-2.05E3,-6.204E1,1.177E1,1.863E5,4.479E2,1.268E1,9.693E1,augusta.wav
6.14E2,7.922E-2,1.455E-2,5.54E4,2.198E-4,1.556E-1,?,9.64E2,?,?,?,-9.507E-1,8.751E-1,-3.296E-1,-1.464E-2,2.984E-1,4.924E-3,6.137E-2,2.791E-1,2.347E-1,0E0,6.461E-1,1.457E3,2.519E6,8.55E9,4.853E13,-7.576E2,5.283E1,1.539E0,-2.461E3,-7.519E1,1.205E1,2.449E5,6.472E2,1.886E1,9.305E1,augusta.wav
